epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4454,0.75534,4.21501,1.06404,0.08593,0.29911,0.14921,0.13563,0.61804,3.73765,0.986,0.000116098,0.000116098,0.000116098
2,51.8293,0.72428,3.03312,1.02853,0.85173,0.34202,0.55435,0.48079,0.64066,2.31385,0.9755,0.00023277,0.00023277,0.00023277
3,76.4503,0.69331,1.82104,1.01783,0.79194,0.6272,0.73895,0.61994,0.6477,1.61974,0.99478,0.000347086,0.000347086,0.000347086
4,100.537,0.65545,1.33271,0.9891,0.81843,0.76043,0.8585,0.72668,0.64739,1.27549,0.99944,0.000346397,0.000346397,0.000346397
5,124.461,0.62012,1.12882,0.96381,0.87387,0.80546,0.88932,0.76966,0.56494,0.89868,0.93769,0.000342863,0.000342863,0.000342863
6,148.45,0.60097,1.01482,0.95544,0.83454,0.82433,0.88893,0.75872,0.58425,0.97381,0.95337,0.000339329,0.000339329,0.000339329
7,172.334,0.57904,0.92322,0.94256,0.86766,0.8636,0.921,0.79968,0.54966,0.81536,0.91663,0.000335794,0.000335794,0.000335794
8,196.213,0.57126,0.85653,0.93568,0.89967,0.85698,0.93573,0.81769,0.53907,0.75652,0.90168,0.00033226,0.00033226,0.00033226
9,220.22,0.56415,0.81751,0.93243,0.9138,0.90283,0.94552,0.8365,0.52459,0.58503,0.90198,0.000328726,0.000328726,0.000328726
10,244.504,0.55309,0.76638,0.92436,0.90259,0.89872,0.93871,0.82081,0.53871,0.60323,0.91284,0.000325191,0.000325191,0.000325191
11,268.544,0.54139,0.71806,0.92009,0.93375,0.91456,0.95635,0.84888,0.50262,0.5486,0.88276,0.000321657,0.000321657,0.000321657
12,292.545,0.54029,0.68585,0.92032,0.92235,0.91689,0.94908,0.85124,0.48698,0.52045,0.87861,0.000318123,0.000318123,0.000318123
13,316.502,0.53656,0.65872,0.92111,0.94069,0.93975,0.96196,0.8653,0.48001,0.44754,0.8734,0.000314588,0.000314588,0.000314588
14,340.272,0.53113,0.62732,0.91531,0.93416,0.92066,0.96177,0.86465,0.47823,0.47988,0.88261,0.000311054,0.000311054,0.000311054
15,363.974,0.52486,0.61038,0.91145,0.94658,0.92305,0.95896,0.8591,0.48475,0.45128,0.88967,0.00030752,0.00030752,0.00030752
16,387.617,0.51406,0.58071,0.90787,0.9447,0.939,0.96008,0.86342,0.47517,0.43207,0.87479,0.000303986,0.000303986,0.000303986
17,411.66,0.52151,0.57596,0.91217,0.92703,0.9164,0.94948,0.85235,0.47842,0.47838,0.87967,0.000300451,0.000300451,0.000300451
18,435.621,0.50662,0.54752,0.90389,0.9135,0.90534,0.94873,0.84946,0.47344,0.48478,0.87363,0.000296917,0.000296917,0.000296917
19,459.422,0.51294,0.54239,0.90947,0.93693,0.93745,0.96522,0.87598,0.4477,0.40551,0.85977,0.000293383,0.000293383,0.000293383
20,483.392,0.50909,0.5319,0.90657,0.94728,0.93034,0.96312,0.85941,0.48122,0.42345,0.88358,0.000289848,0.000289848,0.000289848
21,507.034,0.50511,0.51379,0.90835,0.95174,0.9349,0.96657,0.87651,0.45708,0.41251,0.87343,0.000286314,0.000286314,0.000286314
22,530.94,0.50121,0.5003,0.90313,0.94637,0.9425,0.96132,0.87314,0.44737,0.402,0.85801,0.00028278,0.00028278,0.00028278
23,554.56,0.49926,0.4881,0.90363,0.93936,0.94732,0.96656,0.88146,0.44439,0.38414,0.85989,0.000279245,0.000279245,0.000279245
24,578.326,0.4922,0.4767,0.89766,0.94403,0.93305,0.96207,0.87022,0.45795,0.40584,0.87729,0.000275711,0.000275711,0.000275711
25,602.05,0.48606,0.46657,0.89768,0.95419,0.94116,0.96848,0.88174,0.44149,0.38474,0.86271,0.000272177,0.000272177,0.000272177
26,625.775,0.48185,0.46153,0.89605,0.9382,0.95036,0.96496,0.8817,0.44434,0.38253,0.86879,0.000268642,0.000268642,0.000268642
27,649.556,0.4874,0.46032,0.90081,0.94574,0.95421,0.96982,0.88198,0.4518,0.37831,0.86268,0.000265108,0.000265108,0.000265108
28,673.65,0.4803,0.44884,0.89525,0.9521,0.94981,0.96981,0.88121,0.44958,0.38348,0.85822,0.000261574,0.000261574,0.000261574
29,698.066,0.4824,0.44467,0.89506,0.95808,0.9499,0.97083,0.89447,0.42913,0.36375,0.85088,0.00025804,0.00025804,0.00025804
30,721.938,0.47501,0.42916,0.89259,0.96081,0.94892,0.97074,0.89082,0.4254,0.36007,0.84759,0.000254505,0.000254505,0.000254505
31,746.078,0.48137,0.43389,0.89625,0.94001,0.93913,0.96046,0.88376,0.4332,0.37764,0.85586,0.000250971,0.000250971,0.000250971
32,769.724,0.47291,0.42253,0.89161,0.95671,0.9515,0.96495,0.89076,0.43011,0.36304,0.85097,0.000247437,0.000247437,0.000247437
33,793.333,0.4744,0.42089,0.89131,0.95532,0.95126,0.9679,0.89494,0.422,0.35495,0.84965,0.000243902,0.000243902,0.000243902
34,817.037,0.47405,0.42111,0.89207,0.95576,0.95678,0.97109,0.89242,0.42629,0.35874,0.85884,0.000240368,0.000240368,0.000240368
35,840.674,0.46936,0.41289,0.8889,0.9626,0.96157,0.97386,0.89749,0.42926,0.33785,0.85928,0.000236834,0.000236834,0.000236834
36,864.324,0.46253,0.40564,0.88879,0.96171,0.96181,0.97452,0.90233,0.43102,0.33898,0.85136,0.000233299,0.000233299,0.000233299
37,888.031,0.46645,0.40661,0.88988,0.95352,0.94099,0.96168,0.88518,0.42699,0.36718,0.85826,0.000229765,0.000229765,0.000229765
38,911.646,0.45816,0.39894,0.88802,0.95362,0.96154,0.96745,0.89514,0.41975,0.34208,0.84862,0.000226231,0.000226231,0.000226231
39,935.304,0.45891,0.39456,0.88744,0.96591,0.94386,0.97024,0.8936,0.42859,0.35177,0.85868,0.000222697,0.000222697,0.000222697
40,958.957,0.46267,0.39671,0.88889,0.94679,0.95957,0.9711,0.89929,0.41716,0.3302,0.84849,0.000219162,0.000219162,0.000219162
41,982.724,0.45792,0.38732,0.88621,0.95045,0.95262,0.96707,0.8853,0.42618,0.34287,0.85278,0.000215628,0.000215628,0.000215628
42,1006.38,0.45701,0.38754,0.88697,0.95608,0.94583,0.97017,0.89587,0.42474,0.34519,0.85748,0.000212094,0.000212094,0.000212094
