epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7696,0.73116,1.80388,4.06853,1.03633,0.05882,0.58876,0.27343,0.24608,0.05786,0.58781,0.26872,0.23727,0.61876,1.5531,3.46405,0.97383,0.000117648,0.000117648,0.000117648
2,93.2581,0.71067,1.38695,2.43098,1.00498,0.77005,0.65136,0.72667,0.6121,0.76293,0.64478,0.71632,0.59015,0.66864,1.53397,1.36275,0.9877,0.000234305,0.000234305,0.000234305
3,139.359,0.6925,1.3759,1.51088,0.98824,0.78893,0.7255,0.81964,0.69286,0.77436,0.71505,0.8075,0.67591,0.63823,1.41055,1.15762,0.988,0.000348606,0.000348606,0.000348606
4,185.756,0.66954,1.34351,1.22017,0.9771,0.83973,0.78075,0.85174,0.71145,0.8323,0.77144,0.83411,0.68543,0.64486,1.53753,0.99384,0.97908,0.000346397,0.000346397,0.000346397
5,231.365,0.64162,1.30054,1.03621,0.95761,0.8644,0.77075,0.87829,0.7443,0.85478,0.7617,0.85932,0.70763,0.60978,1.40504,0.8885,0.97134,0.000342863,0.000342863,0.000342863
6,276.894,0.61171,1.2373,0.91332,0.94289,0.84639,0.84712,0.90916,0.77434,0.84766,0.84149,0.89847,0.74238,0.60126,1.39949,0.83283,0.95067,0.000339329,0.000339329,0.000339329
7,322.212,0.60827,1.22529,0.83178,0.94208,0.85846,0.87052,0.91392,0.77692,0.85297,0.86415,0.90227,0.74849,0.58617,1.30003,0.72828,0.93089,0.000335794,0.000335794,0.000335794
8,368.025,0.58937,1.19177,0.76983,0.93473,0.89361,0.88349,0.93254,0.81494,0.88689,0.87403,0.91608,0.7779,0.53663,1.22735,0.61633,0.90364,0.00033226,0.00033226,0.00033226
9,414.651,0.57816,1.1573,0.71213,0.92987,0.89467,0.88973,0.93496,0.81059,0.88987,0.88471,0.92475,0.78238,0.55091,1.24677,0.5733,0.92169,0.000328726,0.000328726,0.000328726
10,460.97,0.56726,1.11902,0.66985,0.92322,0.87485,0.86396,0.91937,0.79702,0.87948,0.84555,0.90772,0.7706,0.55114,1.21807,0.66235,0.91805,0.000325191,0.000325191,0.000325191
11,506.363,0.56683,1.14377,0.63861,0.92538,0.92288,0.92369,0.95436,0.8365,0.91391,0.91844,0.94062,0.79701,0.53103,1.26206,0.49607,0.90544,0.000321657,0.000321657,0.000321657
12,552.473,0.5629,1.12427,0.62098,0.92271,0.92571,0.90245,0.94946,0.84022,0.91791,0.9018,0.94116,0.80748,0.51442,1.15331,0.52796,0.8992,0.000318123,0.000318123,0.000318123
13,597.87,0.55281,1.09551,0.58972,0.91982,0.90836,0.92633,0.9514,0.8441,0.90338,0.92039,0.94043,0.8185,0.50876,1.09066,0.52412,0.89678,0.000314588,0.000314588,0.000314588
14,643.662,0.54228,1.08037,0.56855,0.91578,0.90893,0.92575,0.95158,0.8479,0.90182,0.91798,0.94032,0.8176,0.49319,1.13616,0.50301,0.88754,0.000311054,0.000311054,0.000311054
15,688.653,0.54058,1.05598,0.55777,0.91607,0.92334,0.93573,0.95459,0.85313,0.91864,0.93158,0.94688,0.82578,0.49351,1.11701,0.47309,0.88857,0.00030752,0.00030752,0.00030752
16,734.317,0.54358,1.07846,0.54282,0.91558,0.92534,0.93866,0.96201,0.86086,0.91799,0.93288,0.9524,0.82873,0.4924,1.11561,0.44325,0.8809,0.000303986,0.000303986,0.000303986
17,779.341,0.53601,1.06533,0.5264,0.91486,0.94203,0.94417,0.96527,0.86555,0.94066,0.9282,0.95182,0.83206,0.47841,1.07681,0.42564,0.87723,0.000300451,0.000300451,0.000300451
18,824.598,0.53729,1.05429,0.51773,0.91367,0.94425,0.91587,0.95454,0.86338,0.9423,0.9059,0.94169,0.82987,0.47504,1.07264,0.44966,0.88008,0.000296917,0.000296917,0.000296917
19,870.276,0.52451,1.0303,0.50903,0.91276,0.92166,0.91416,0.95505,0.85367,0.91835,0.91076,0.94895,0.82749,0.49723,1.10864,0.47501,0.8883,0.000293383,0.000293383,0.000293383
20,915.569,0.5255,1.03807,0.50094,0.90757,0.94005,0.94371,0.96148,0.85906,0.93537,0.93997,0.95432,0.83237,0.48827,1.0814,0.43176,0.88852,0.000289848,0.000289848,0.000289848
21,966.066,0.52059,0.99787,0.48738,0.90746,0.9456,0.9438,0.96227,0.86277,0.93838,0.93479,0.94923,0.82902,0.48275,1.10958,0.42094,0.8807,0.000286314,0.000286314,0.000286314
22,1011.44,0.51275,0.97218,0.47872,0.90567,0.94976,0.95439,0.96601,0.87432,0.94361,0.94644,0.95677,0.84625,0.4632,1.00558,0.40166,0.8731,0.00028278,0.00028278,0.00028278
23,1056.79,0.51173,0.98188,0.4738,0.90355,0.94744,0.95583,0.97026,0.87757,0.94125,0.94935,0.95928,0.84817,0.47064,1.08048,0.38179,0.88084,0.000279245,0.000279245,0.000279245
24,1101.71,0.51313,0.98991,0.46789,0.90446,0.94458,0.93757,0.96406,0.87302,0.93885,0.93052,0.95203,0.84043,0.46767,1.01395,0.40753,0.87282,0.000275711,0.000275711,0.000275711
25,1146.8,0.50722,0.98281,0.46437,0.90494,0.94374,0.95489,0.96923,0.88052,0.94067,0.94988,0.96079,0.84913,0.46212,1.05972,0.38921,0.87193,0.000272177,0.000272177,0.000272177
26,1193.59,0.51083,0.98855,0.46117,0.90333,0.95463,0.94632,0.96531,0.88024,0.95379,0.94188,0.95769,0.85202,0.46198,1.06714,0.39463,0.87267,0.000268642,0.000268642,0.000268642
27,1239.72,0.50065,0.98181,0.45285,0.90305,0.94484,0.95152,0.96833,0.88138,0.94215,0.94722,0.95964,0.85351,0.44962,1.04516,0.38557,0.86346,0.000265108,0.000265108,0.000265108
28,1286.01,0.49326,0.94062,0.43996,0.89575,0.95036,0.95181,0.969,0.88007,0.94736,0.94495,0.96171,0.85277,0.46256,1.03092,0.37702,0.87586,0.000261574,0.000261574,0.000261574
