epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8155,0.78929,2.50721,3.72346,1.07025,0.50635,0.37403,0.43293,0.36813,0.49975,0.36543,0.41589,0.34076,0.68101,1.88213,1.90966,1.01359,0.000127966,0.000127966,0.000127966
2,380.136,0.76432,2.11246,2.01551,1.03081,0.76872,0.69301,0.75163,0.62399,0.75671,0.6819,0.72869,0.58838,0.66307,1.79782,1.13913,0.99612,0.000253762,0.000253762,0.000253762
3,428.457,0.73817,2.09256,1.49242,1.01322,0.8098,0.72343,0.77444,0.63663,0.80086,0.71822,0.76397,0.60358,0.6854,1.80105,0.99497,1.00561,0.000377017,0.000377017,0.000377017
4,475.671,0.71851,1.98641,1.25765,1.00667,0.825,0.75223,0.80908,0.67251,0.8169,0.72918,0.78157,0.62758,0.65134,1.81655,0.88318,0.99012,0.000373565,0.000373565,0.000373565
5,521.858,0.70753,2.01808,1.11606,1.00256,0.88104,0.79804,0.8565,0.72413,0.87184,0.7891,0.83309,0.6793,0.6162,1.71673,0.69702,0.96167,0.000369754,0.000369754,0.000369754
6,568.181,0.67669,1.89876,0.99045,0.99033,0.89519,0.79928,0.86604,0.74185,0.88776,0.79473,0.84894,0.69888,0.58375,1.59027,0.66725,0.94031,0.000365942,0.000365942,0.000365942
7,615.079,0.66366,1.88557,0.90946,0.97594,0.86168,0.83523,0.87472,0.73609,0.84779,0.82298,0.85506,0.69306,0.60083,1.58403,0.67925,0.96219,0.000362131,0.000362131,0.000362131
8,661.406,0.64885,1.86181,0.85018,0.97368,0.88632,0.82345,0.88465,0.74989,0.87068,0.80472,0.85681,0.6965,0.59817,1.629,0.63056,0.9412,0.000358319,0.000358319,0.000358319
9,707.909,0.6251,1.76291,0.79872,0.96003,0.90678,0.83593,0.88671,0.76088,0.89604,0.82636,0.86456,0.71542,0.55616,1.54432,0.56453,0.93072,0.000354508,0.000354508,0.000354508
10,755.237,0.62587,1.75118,0.75049,0.95946,0.88993,0.8461,0.89097,0.77326,0.86937,0.8296,0.86444,0.72637,0.56032,1.5698,0.54769,0.92998,0.000350697,0.000350697,0.000350697
11,801.683,0.61809,1.79842,0.71586,0.958,0.89915,0.83113,0.8874,0.76369,0.89244,0.82534,0.86904,0.72003,0.55918,1.54077,0.56689,0.9348,0.000346885,0.000346885,0.000346885
12,847.831,0.61707,1.77408,0.6997,0.96043,0.91031,0.85209,0.89295,0.77501,0.90964,0.84475,0.88092,0.73032,0.55334,1.4796,0.53675,0.92242,0.000343074,0.000343074,0.000343074
13,894.248,0.6034,1.74485,0.67927,0.95184,0.9337,0.85644,0.90368,0.79067,0.92705,0.84946,0.88931,0.74806,0.53885,1.46387,0.48317,0.91663,0.000339262,0.000339262,0.000339262
